Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
18 2000  6.2192e+06 104353 486222 126823 124218 111604 126823 124218 111604 0.858189 319449
18 2001  1.24524e+06 359332 655863 173366 204778 152562 173366 204778 152562 0.695534 148349
18 2002  1.54252e+06 424409 496674 155333 225321 136693 155333 225321 136693 0.630067 87695.2
18 2003  1.40595e+06 263034 292576 74350.3 91809.3 65428.2 74350.3 91809.3 65428.2 0.339986 56296.5
18 2004  1.21276e+06 178553 207132 72513.1 65588.7 63811.5 72513.1 65588.7 63811.5 0.366804 59295.3
18 2005  8.3256e+06 120235 142110 64115.2 47035.3 56421.3 64115.2 47035.3 56421.3 0.394 118783
18 2006  2.25049e+06 90108 227100 66967.2 58372.8 58931.1 66967.2 58372.8 58931.1 0.61587 154210
18 2007  1.23574e+06 138571 206542 67425.3 60938.6 59334.3 67425.3 60938.6 59334.3 0.562446 74192.3
18 2008  661738 135920 166911 49900.4 47256.7 43912.4 49900.4 47256.7 43912.4 0.371334 46509
18 2009  4.36496e+06 95621.6 115186 46492.1 33839 40913 46492.1 33839 40913 0.334516 64136.1
18 2010  644347 85892.2 188948 41303.5 34775.1 36347.1 41303.5 34775.1 36347.1 0.365996 100223
18 2011  347866 134086 181804 42868 42695.2 37723.8 42868 42695.2 37723.8 0.344747 48328
18 2012  650299 145679 157224 42919.8 44635 37769.4 42919.8 44635 37769.4 0.296792 28893.1
18 2013  551156 109088 122708 46685.3 32013 41083.1 46685.3 32013 41083.1 0.262495 28457.2
18 2014  4.20925e+06 76960.4 90785.2 45914.5 33725 40404.8 45914.5 33725 40404.8 0.413707 60333.1
18 2015  1.06734e+06 61951.8 146029 41474.8 42432.5 36497.8 41474.8 42432.5 36497.8 0.626923 84386.4
18 2016  1.65963e+06 98940.7 149790 42943.5 55344.2 37790.2 42943.5 55344.2 37790.2 0.507389 61308.3
18 2017  837275 117646 156368 40861.1 52043.6 35957.7 40861.1 52043.6 35957.7 0.457417 51954.3
18 2018  1.80282e+06 97311 123904 39694 43961 34930.7 39694 43961 34930.7 0.43223 47805.8
18 2019  6.27461e+06 81237.9 120114 36305.3 36755.9 31948.6 36305.3 36755.9 31948.6 0.430629 90013.1
18 2020  8.64067e+06 93278.7 247982 38943.8 41905.4 34270.5 38943.8 41905.4 34270.5 0.344797 212589
18 2021  3.61646e+06 209182 431927 44128.5 56902.3 38833.1 44128.5 56902.3 38833.1 0.221142 226515
18 2022  3.98814e+06 354434 475777 56889.5 47073.7 50062.8 56889.5 47073.7 50062.8 0.121035 184536
18 2023  NA 409491 NA NA NA NA NA NA NA NA NA
19 1974  267889 558023 861666 341457 274083 310725 341457 274083 310725 0.450828 0
19 1975  150870 487929 829525 308362 277866 280610 308362 277866 280610 0.531407 0
19 1976  188056 368024 730454 432832 268343 393877 432832 268343 393877 0.574587 0
19 1977  160581 292319 600366 242626 285567 220790 242626 285567 220790 0.73459 0
19 1978  340297 247209 456357 179361 144626 163218 179361 144626 163218 0.435845 0
19 1979  255899 240189 488533 144250 158363 131268 144250 158363 131268 0.464361 0
19 1980  251322 222080 470747 146784 166403 133573 146784 166403 133573 0.54183 0
19 1981  219098 211342 539571 150025 178128 136523 150025 178128 136523 0.498252 0
19 1982  264245 191979 544467 205438 184420 186949 205438 184420 186949 0.48907 0
19 1983  495231 197956 522159 205616 242094 187111 205616 242094 187111 0.714932 0
19 1984  267231 161924 417768 245308 158897 223230 245308 158897 223230 0.589173 0
19 1985  269641 140954 403097 280080 138611 254873 280080 138611 254873 0.597465 0
19 1986  157123 123755 444986 236972 191971 215644 236972 191971 215644 0.733667 0
19 1987  151509 128359 375232 195418 150360 177830 195418 150360 177830 0.625576 0
19 1988  206892 129799 354565 156418 163424 142340 156418 163424 142340 0.722021 0
19 1989  192785 109962 291461 126442 122585 115063 126442 122585 115063 0.666845 0
19 1990  211289 103813 269351 126902 96635.1 115481 126902 96635.1 115481 0.576221 0
19 1991  172392 97291.1 278431 133739 93714.6 121702 133739 93714.6 121702 0.533315 0
19 1992  505646 97705.7 309161 117430 79123.1 106862 117430 79123.1 106862 0.51053 0
19 1993  207783 112311 354003 135112 127838 122952 135112 127838 122952 0.735978 0
19 1994  306561 108652 366382 128816 91407 117223 128816 91407 117223 0.517975 0
19 1995  143065 133319 569858 143477 164196 130564 143477 164196 130564 0.661219 0
19 1996  263606 147027 499640 130551 161050 118801 130551 161050 118801 0.570298 0
19 1997  149009 180776 485660 121523 121111 110586 121523 121111 110586 0.408509 0
19 1998  330209 183494 422227 118480 114195 107816 118480 114195 107816 0.419985 0
19 1999  338128 190520 437217 120395 141883 109560 120395 141883 109560 0.575892 0
19 2000  244344 177039 438347 94675.6 103109 86154.8 94675.6 103109 86154.8 0.408785 0
19 2001  184850 186286 486213 104100 84061.6 94731.3 104100 84061.6 94731.3 0.312978 0
19 2002  292442 221672 570138 129849 139479 118162 129849 139479 118162 0.430516 0
19 2003  127740 208512 481559 121658 134781 110709 121658 134781 110709 0.463186 0
19 2004  156745 255290 527941 113792 114316 103551 113792 114316 103551 0.334659 0
19 2005  110664 235937 489430 119234 121041 108503 119234 121041 108503 0.381357 0
19 2006  111245 256066 474917 128711 120612 117127 128711 120612 117127 0.365535 0
19 2007  191092 237506 413730 106333 88946.5 96763.1 106333 88946.5 96763.1 0.30348 0
19 2008  105895 227198 391510 129887 117064 118197 129887 117064 118197 0.451297 0
19 2009  154042 217156 367866 114519 113661 104213 114519 113661 104213 0.466144 0
19 2010  145332 203707 380883 104723 118528 95297.9 104723 118528 95297.9 0.481531 0
19 2011  109539 158483 317952 102008 94338 92827.5 102008 94338 92827.5 0.454048 0
19 2012  129613 142247 299072 87049.1 79382.9 79214.6 87049.1 79382.9 79214.6 0.418563 0
19 2013  192835 143532 299500 87269.8 75098.2 79415.5 87269.8 75098.2 79415.5 0.381511 0
19 2014  183109 158787 311329 82171.6 82906.3 74776.2 82171.6 82906.3 74776.2 0.385525 0
19 2015  108399 162136 320162 81446.6 83926.2 74116.4 81446.6 83926.2 74116.4 0.404363 0
19 2016  95717.4 150867 335897 77671.3 83896.9 70680.9 77671.3 83896.9 70680.9 0.401829 0
19 2017  86181.2 165313 359833 94585.1 110301 86072.4 94585.1 110301 86072.4 0.476353 0
19 2018  104124 160382 318596 95446.2 103738 86856.1 95446.2 103738 86856.1 0.471541 0
19 2019  148471 166060 301413 96645.8 102607 87947.7 96645.8 102607 87947.7 0.483545 0
19 2020  179992 154092 276929 76819.8 71656.4 69906.1 76819.8 71656.4 69906.1 0.361673 0
19 2021  178446 147441 276962 50950.7 49853 46365.1 50950.7 49853 46365.1 0.255983 0
19 2022  178064 163782 329734 53805.5 55914.1 48963 53805.5 55914.1 48963 0.245772 0
19 2023  NA 186057 NA NA NA NA NA NA NA NA NA
20 1974  4.771e+06 4.98698e+06 5.63909e+06 604750 594838 220247 604750 594838 220247 0.12298 0
20 1975  4.47923e+06 4.80818e+06 5.59489e+06 780518 779685 466992 780518 779685 466992 0.163186 0
20 1976  2.99275e+06 4.60147e+06 5.4675e+06 826864 804408 205545 826864 804408 205545 0.184655 0
20 1977  762882 4.43618e+06 5.20733e+06 619776 606096 109430 619776 606096 109430 0.144383 0
20 1978  2.52945e+06 4.32935e+06 4.83926e+06 735619 733868 130770 735619 733868 130770 0.182306 0
20 1979  4.71666e+06 3.81759e+06 4.21075e+06 840578 809101 239951 840578 809101 239951 0.224988 0
20 1980  5.2644e+06 2.75417e+06 3.31352e+06 733063 715902 246183 733063 715902 246183 0.237913 0
20 1981  6.41293e+06 2.5141e+06 3.32204e+06 750656 670322 257298 750656 670322 257298 0.247221 0
20 1982  1.74254e+06 2.51213e+06 3.46481e+06 716385 650495 262855 716385 650495 262855 0.247207 0
20 1983  1.2628e+06 2.66611e+06 3.4477e+06 671927 550633 250657 671927 550633 250657 0.21181 0
20 1984  6.0902e+06 2.67732e+06 3.08291e+06 633027 582367 256929 633027 582367 256929 0.218727 0
20 1985  2.8424e+06 2.5616e+06 3.14792e+06 609877 592550 244303 609877 592550 244303 0.19448 0
20 1986  3.36587e+06 2.63006e+06 3.33821e+06 600246 548079 263876 600246 548079 263876 0.182338 0
20 1987  4.80003e+06 2.653e+06 3.23561e+06 654429 603319 287221 654429 603319 287221 0.199112 0
20 1988  3.11122e+06 2.64358e+06 3.35494e+06 677317 679673 295331 677317 679673 295331 0.21736 0
20 1989  4.07657e+06 2.52144e+06 3.2614e+06 582714 564035 255824 582714 564035 255824 0.185301 0
20 1990  3.04023e+06 2.68329e+06 3.3169e+06 624046 610083 271781 624046 610083 271781 0.199887 0
20 1991  3.32463e+06 2.80472e+06 3.42486e+06 674986 737148 296164 674986 737148 296164 0.238825 0
20 1992  4.03919e+06 2.76744e+06 3.26501e+06 758475 827352 332009 758475 827352 332009 0.278323 0
20 1993  4.5416e+06 2.6374e+06 3.18285e+06 823385 833259 360218 823385 833259 360218 0.315736 0
20 1994  3.83012e+06 2.55172e+06 3.1225e+06 817922 871744 357445 817922 871744 357445 0.341754 0
20 1995  3.4521e+06 2.55738e+06 3.14514e+06 755210 771091 331225 755210 771091 331225 0.324717 0
20 1996  3.41928e+06 2.43066e+06 2.94759e+06 561267 557643 244597 561267 557643 244597 0.240761 0
20 1997  2.80581e+06 2.45539e+06 2.9558e+06 570291 542614 248053 570291 542614 248053 0.234622 0
20 1998  2.86963e+06 2.44512e+06 2.8557e+06 662343 618385 263275 662343 618385 263275 0.266452 0
20 1999  3.2744e+06 2.38566e+06 2.78362e+06 636297 630062 253018 636297 630062 253018 0.273333 0
20 2000  1.96784e+06 2.25077e+06 2.64253e+06 736472 708830 292978 736472 708830 292978 0.326093 0
20 2001  4.26254e+06 2.09394e+06 2.42984e+06 735748 727820 315687 735748 727820 315687 0.367639 0
20 2002  5.77853e+06 1.80419e+06 2.19504e+06 770238 772231 311527 770238 772231 311527 0.441547 0
20 2003  3.65925e+06 1.80387e+06 2.40099e+06 678030 726426 268113 678030 726426 268113 0.424338 0
20 2004  5.03528e+06 2.15071e+06 2.62262e+06 684412 608840 274417 684412 608840 274417 0.448753 0
20 2005  8.15247e+06 2.082e+06 2.66458e+06 549854 464998 209035 549854 464998 209035 0.32044 0
20 2006  9.71685e+06 2.33745e+06 3.24654e+06 478373 445335 176491 478373 445335 176491 0.260406 0
20 2007  8.44993e+06 2.84566e+06 4.14199e+06 588318 616536 205685 588318 616536 205685 0.293241 0
20 2008  8.36876e+06 3.41548e+06 4.81198e+06 622041 689369 211552 622041 689369 211552 0.26162 0
20 2009  7.58221e+06 4.02099e+06 5.30303e+06 738620 737588 243763 738620 737588 243763 0.238206 0
20 2010  1.10113e+07 4.56798e+06 5.57959e+06 879073 807758 246258 879073 807758 246258 0.219973 0
20 2011  1.08584e+07 5.30811e+06 6.52936e+06 950185 873779 256746 950185 873779 256746 0.20499 0
20 2012  6.81169e+06 5.48085e+06 6.97692e+06 900343 856239 234469 900343 856239 234469 0.179887 0
20 2013  5.31418e+06 5.85575e+06 6.96013e+06 939365 930822 226080 939365 930822 226080 0.178988 0
20 2014  6.26655e+06 5.97756e+06 6.79282e+06 1.40348e+06 1.25589e+06 323234 1.40348e+06 1.25589e+06 323234 0.22625 0
20 2015  2.81801e+06 6.06227e+06 6.72844e+06 1.22245e+06 1.16447e+06 269730 1.22245e+06 1.16447e+06 269730 0.209465 0
20 2016  5.17694e+06 5.75306e+06 6.36934e+06 1.10266e+06 1.06824e+06 265663 1.10266e+06 1.06824e+06 265663 0.196866 0
20 2017  3.58763e+06 5.02452e+06 5.59065e+06 1.15921e+06 1.15729e+06 255887 1.15921e+06 1.15729e+06 255887 0.216752 0
20 2018  3.14669e+06 4.54208e+06 5.29066e+06 1.02296e+06 1.00181e+06 215939 1.02296e+06 1.00181e+06 215939 0.201516 0
20 2019  5.30976e+06 4.22115e+06 4.77427e+06 839839 823160 168765 839839 823160 168765 0.179275 0
20 2020  6.04707e+06 4.01452e+06 4.64279e+06 1.0395e+06 951092 209122 1.0395e+06 951092 209122 0.228224 0
20 2021  2.93898e+06 3.83808e+06 4.62476e+06 1.08167e+06 1.04158e+06 217715 1.08167e+06 1.04158e+06 217715 0.277346 0
20 2022  4.16352e+06 3.67319e+06 4.30926e+06 1.04695e+06 934164 210161 1.04695e+06 934164 210161 0.296037 0
20 2023  NA 3.34972e+06 NA NA NA NA NA NA NA NA NA
21 1974  9.71885e+06 231984 275426 266013 218655 266013 266013 218655 266013 0.694204 103315
21 1975  4.21509e+06 161751 206916 253937 229204 253937 253937 229204 253937 1.16734 58969.1
21 1976  2.43335e+06 91023 110697 159255 84774.4 159255 159255 84774.4 159255 0.685535 36629.3
21 1977  1.74144e+06 69014.9 81399.4 39314.4 17743.2 39314.4 39314.4 17743.2 39314.4 0.162006 32648.6
