"Species.n" "Year" "Rec" "SSB" "TSB" "SOP" "SOP.hat" "Yield" "yield.hat" "mean.F" "Eaten"
26 2017 4471024 938798 0 114300 0 0 0 0.131 0
26 2018 2670467 787311 0 105800 0 0 0 0.139 0
26 2019 5950342 706290 0 86121 0 0 0 0.115 0
26 2020 3665022 726120 0 79158 0 0 0 0.102 0
26 2021 3216763 763264 0 73352 0 0 0 0.087 0
26 2022 8186634 725990 0 64897 0 0 0 0.085 0
26 2023 3701607 893313 0 NA 0 0 0 NA 0
19 1967 141932 152710 0 101331 0 0 0 0.353 0
19 1968 161043 211426 0 134559 0 0 0 0.29 0
19 1969 287190 278400 0 150294 0 0 0 0.319 0
19 1970 294247 348015 0 270829 0 0 0 0.344 0
19 1971 356661 463751 0 309177 0 0 0 0.372 0
19 1972 223340 492694 0 296482 0 0 0 0.403 0
19 1973 200584 525087 0 275164 0 0 0 0.427 0
19 1974 198796 580026 0 337021 0 0 0 0.496 0
19 1975 234361 518857 0 304646 0 0 0 0.535 0
19 1976 409751 399842 0 423346 0 0 0 0.604 0
19 1977 148929 325233 0 239913 0 0 0 0.596 0
19 1978 120436 297081 0 176851 0 0 0 0.48 0
19 1979 87362 278998 0 142647 0 0 0 0.45 0
19 1980 85357 261080 0 145288 0 0 0 0.473 0
19 1981 164372 249294 0 148245 0 0 0 0.468 0
19 1982 140969 220375 0 202111 0 0 0 0.54 0
19 1983 148195 220397 0 203019 0 0 0 0.655 0
19 1984 256251 188654 0 240566 0 0 0 0.679 0
19 1985 358100 165976 0 273672 0 0 0 0.705 0
19 1986 291263 156610 0 232795 0 0 0 0.741 0
19 1987 148792 165095 0 192381 0 0 0 0.706 0
19 1988 138564 154595 0 154253 0 0 0 0.713 0
19 1989 101903 126484 0 124599 0 0 0 0.691 0
19 1990 150734 114769 0 124450 0 0 0 0.658 0
19 1991 176077 107637 0 130973 0 0 0 0.628 0
19 1992 103172 113163 0 115537 0 0 0 0.611 0
19 1993 176956 119733 0 132618 0 0 0 0.646 0
19 1994 119188 123497 0 126759 0 0 0 0.574 0
19 1995 217635 142655 0 141190 0 0 0 0.583 0
19 1996 120292 154059 0 128896 0 0 0 0.513 0
19 1997 153448 194025 0 120103 0 0 0 0.439 0
19 1998 88673 192245 0 117222 0 0 0 0.444 0
19 1999 121015 201133 0 119466 0 0 0 0.472 0
19 2000 102867 194748 0 93795 0 0 0 0.4 0
19 2001 211740 201287 0 102859 0 0 0 0.376 0
19 2002 152360 222834 0 129847 0 0 0 0.418 0
19 2003 154982 208600 0 121656 0 0 0 0.438 0
19 2004 113676 255179 0 113792 0 0 0 0.377 0
19 2005 145470 246304 0 121216 0 0 0 0.38 0
19 2006 97945 262816 0 128711 0 0 0 0.398 0
19 2007 154419 244963 0 106334 0 0 0 0.384 0
19 2008 71445 245602 0 129886 0 0 0 0.449 0
19 2009 54884 238520 0 114520 0 0 0 0.47 0
19 2010 89024 220711 0 104723 0 0 0 0.454 0
19 2011 80817 177346 0 102006 0 0 0 0.451 0
19 2012 133005 164320 0 87049 0 0 0 0.419 0
19 2013 90693 169312 0 87270 0 0 0 0.387 0
19 2014 55748 188223 0 82172 0 0 0 0.37 0
