data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1998 -9 1  6.193272e+05 3.881463e+04 2.769836e+00 3.218095e+00 7.408163e-01
catch 21 1 1998 -9 2  6.054828e+04 8.914586e+04 -3.868328e-01 -4.494362e-01 7.408163e-01
catch 21 1 1998 -9 3  5.148177e+04 5.499995e+04 -6.610446e-02 -7.680253e-02 7.408163e-01
catch 21 1 1998 -9 4  2.259972e+04 3.890418e+04 -5.431641e-01 -6.310674e-01 7.408163e-01
catch 21 1 1998 -9 5  1.393671e+04 2.972416e+04 -7.574337e-01 -8.800136e-01 7.408163e-01
catch 21 1 1998 -9 6  2.301640e+04 1.205105e+04 6.470556e-01 7.517723e-01 7.408163e-01
catch 21 1 1998 -9 7  3.808000e+03 3.395570e+03 1.146325e-01 1.331841e-01 7.408163e-01
catch 21 1 1998 -9 8  8.220000e+03 5.413613e+03 4.176535e-01 4.659330e-01 8.034992e-01
catch 21 1 1999 -9 1  6.790744e+04 2.466464e+04 1.012775e+00 1.176678e+00 7.408163e-01
catch 21 1 1999 -9 2  2.892236e+04 3.997183e+04 -3.235600e-01 -3.759235e-01 7.408163e-01
catch 21 1 1999 -9 3  7.054664e+04 6.356232e+04 1.042532e-01 1.211250e-01 7.408163e-01
catch 21 1 1999 -9 4  4.395513e+04 3.073878e+04 3.576443e-01 4.155239e-01 7.408163e-01
catch 21 1 1999 -9 5  1.788087e+04 2.243688e+04 -2.269747e-01 -2.637073e-01 7.408163e-01
catch 21 1 1999 -9 6  1.081188e+04 1.025270e+04 5.310475e-02 6.169900e-02 7.408163e-01
catch 21 1 1999 -9 7  3.984330e+03 4.206813e+03 -5.433622e-02 -6.312976e-02 7.408163e-01
catch 21 1 1999 -9 8  7.192900e+02 3.084680e+03 -1.455938e+00 -1.624240e+00 8.034992e-01
catch 21 1 2000 -9 1  1.061008e+05 8.182260e+04 2.598361e-01 3.018869e-01 7.408163e-01
catch 21 1 2000 -9 2  2.629483e+04 3.705266e+04 -3.429678e-01 -3.984723e-01 7.408163e-01
catch 21 1 2000 -9 3  2.032716e+04 4.304445e+04 -7.502754e-01 -8.716968e-01 7.408163e-01
catch 21 1 2000 -9 4  5.208538e+04 5.455032e+04 -4.623933e-02 -5.372250e-02 7.408163e-01
catch 21 1 2000 -9 5  1.791962e+04 2.734666e+04 -4.226984e-01 -4.911061e-01 7.408163e-01
catch 21 1 2000 -9 6  4.221930e+03 1.252686e+04 -1.087583e+00 -1.263592e+00 7.408163e-01
catch 21 1 2000 -9 7  1.321690e+03 5.769562e+03 -1.473685e+00 -1.712180e+00 7.408163e-01
catch 21 1 2000 -9 8  5.445300e+02 4.106874e+03 -2.020494e+00 -2.254057e+00 8.034992e-01
catch 21 1 2001 -9 1  2.341106e+05 3.857177e+04 1.803273e+00 2.095107e+00 7.408163e-01
catch 21 1 2001 -9 2  1.276331e+05 9.517310e+04 2.934625e-01 3.409552e-01 7.408163e-01
catch 21 1 2001 -9 3  5.162497e+04 3.066325e+04 5.209405e-01 6.052472e-01 7.408163e-01
catch 21 1 2001 -9 4  3.994379e+04 2.847494e+04 3.384489e-01 3.932220e-01 7.408163e-01
catch 21 1 2001 -9 5  5.320504e+04 3.579917e+04 3.962284e-01 4.603523e-01 7.408163e-01
catch 21 1 2001 -9 6  1.637728e+04 1.112616e+04 3.865960e-01 4.491610e-01 7.408163e-01
catch 21 1 2001 -9 7  4.840820e+03 5.223879e+03 -7.615603e-02 -8.848080e-02 7.408163e-01
catch 21 1 2001 -9 8  1.551830e+03 4.110787e+03 -9.741796e-01 -1.086792e+00 8.034992e-01
catch 21 1 2002 -9 1  1.978819e+05 1.028064e+05 6.548228e-01 7.607965e-01 7.408163e-01
catch 21 1 2002 -9 2  1.780519e+05 4.973053e+04 1.275456e+00 1.481871e+00 7.408163e-01
catch 21 1 2002 -9 3  1.045881e+05 9.293841e+04 1.180929e-01 1.372046e-01 7.408163e-01
catch 21 1 2002 -9 4  2.765643e+04 2.429352e+04 1.296488e-01 1.506306e-01 7.408163e-01
catch 21 1 2002 -9 5  1.216089e+04 2.285340e+04 -6.308747e-01 -7.329728e-01 7.408163e-01
catch 21 1 2002 -9 6  2.219940e+04 1.887526e+04 1.622130e-01 1.884648e-01 7.408163e-01
catch 21 1 2002 -9 7  5.778970e+03 6.044240e+03 -4.488030e-02 -5.214354e-02 7.408163e-01
catch 21 1 2002 -9 8  3.597690e+03 5.118306e+03 -3.525315e-01 -3.932830e-01 8.034992e-01
catch 21 1 2003 -9 1  2.490085e+05 3.942196e+04 1.843164e+00 2.141454e+00 7.408163e-01
catch 21 1 2003 -9 2  9.272733e+04 1.587537e+05 -5.376908e-01 -6.247084e-01 7.408163e-01
catch 21 1 2003 -9 3  5.601047e+04 5.650347e+04 -8.763336e-03 -1.018156e-02 7.408163e-01
catch 21 1 2003 -9 4  1.247518e+05 8.582127e+04 3.740597e-01 4.345959e-01 7.408163e-01
catch 21 1 2003 -9 5  3.551631e+04 2.345938e+04 4.147217e-01 4.818385e-01 7.408163e-01
catch 21 1 2003 -9 6  1.653805e+04 1.430394e+04 1.451287e-01 1.686157e-01 7.408163e-01
catch 21 1 2003 -9 7  2.054850e+04 1.189542e+04 5.466348e-01 6.350999e-01 7.408163e-01
catch 21 1 2003 -9 8  9.947400e+03 7.272071e+03 3.132701e-01 3.494831e-01 8.034992e-01
catch 21 1 2004 -9 1  1.219693e+04 2.550024e+04 -7.375037e-01 -8.568581e-01 7.408163e-01
catch 21 1 2004 -9 2  1.270870e+05 5.603279e+04 8.189352e-01 9.514682e-01 7.408163e-01
catch 21 1 2004 -9 3  1.657475e+05 1.760344e+05 -6.021374e-02 -6.995847e-02 7.408163e-01
catch 21 1 2004 -9 4  8.191440e+04 5.089974e+04 4.758171e-01 5.528213e-01 7.408163e-01
catch 21 1 2004 -9 5  1.046558e+05 8.167151e+04 2.479711e-01 2.881017e-01 7.408163e-01
catch 21 1 2004 -9 6  2.561619e+04 1.405065e+04 6.005556e-01 6.977469e-01 7.408163e-01
catch 21 1 2004 -9 7  1.895847e+04 8.731044e+03 7.753658e-01 9.008477e-01 7.408163e-01
catch 21 1 2004 -9 8  9.004740e+03 1.199447e+04 -2.866945e-01 -3.198354e-01 8.034992e-01
catch 21 1 2005 -9 1  1.298460e+05 3.845931e+04 1.216748e+00 1.413662e+00 7.408163e-01
catch 21 1 2005 -9 2  1.307576e+05 4.226850e+04 1.129303e+00 1.312065e+00 7.408163e-01
catch 21 1 2005 -9 3  7.246320e+04 7.041380e+04 2.868965e-02 3.333266e-02 7.408163e-01
catch 21 1 2005 -9 4  2.291112e+05 1.815608e+05 2.326173e-01 2.702631e-01 7.408163e-01
catch 21 1 2005 -9 5  6.432575e+04 5.316843e+04 1.904952e-01 2.213241e-01 7.408163e-01
