"SMS_area" "year" "quarter" "pred" "pred.no" "pred.size" "pred.size.class" "pred.mean.length" "haul.no" "stom.no" "phi" "prey" "prey.no" "prey.size" "prey.size.class" "prey.mean.length" "prey.mean.length.ALK" "stomcon" "type" "mean.weight" "haul.prey.no" "calc.prey.number" "used.prey.number"
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "NSA" 22 "0070-0100" 2 85 -9 0.00108941239694316 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "NSA" 22 "0100-0150" 3 125 -9 0.00250661259473648 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "SSA" 23 "0070-0100" 2 85 -9 5.18265273570573e-06 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "SSA" 23 "0100-0150" 3 125 -9 0.000516086184465923 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "SSA" 23 "0150-0200" 4 175 -9 0.000678934562507674 "obs" 0.0195077728658943 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "NOP" 24 "0070-0100" 2 85 -9 0.008373267164582 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "NOP" 24 "0100-0150" 3 125 -9 0.0211112624504225 "obs" 0.0164799506456668 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "NOP" 24 "0150-0200" 4 175 -9 0.0312045027507975 "obs" 0.0455937735441265 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "SPR" 25 "0050-0070" 1 60 -9 0.000192407022994914 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "SPR" 25 "0070-0100" 2 85 -9 0.00417805873397081 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "SPR" 25 "0100-0150" 3 125 -9 0.0145003031701542 "obs" 0.0168631139577688 1 -1 -1
1 1981 1 "WHG" 17 "0100-0150" 3 125 152 1455 27.7281121924504 "OTH" 0 "9999-9999" 0 9999 -9 0.888451375855526 "obs" 9999 1 -1 -1
1 1981 1 "WHG" 17 "0100-0150" 3 125 152 1455 27.7281121924504 "NSA" 22 "0070-0100" 2 85 -9 0.0885363687474189 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "WHG" 17 "0100-0150" 3 125 152 1455 27.7281121924504 "SPR" 25 "0050-0070" 1 60 -9 0.0230122553970556 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "WHG" 17 "0150-0200" 4 175 186 1604 11.292375760781 "OTH" 0 "9999-9999" 0 9999 -9 0.819408557724092 "obs" 9999 1 -1 -1
1 1981 1 "WHG" 17 "0150-0200" 4 175 186 1604 11.292375760781 "NSA" 22 "0070-0100" 2 85 -9 0.0695515150624743 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "WHG" 17 "0150-0200" 4 175 186 1604 11.292375760781 "NSA" 22 "0100-0150" 3 125 -9 0.0481818320685955 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "WHG" 17 "0150-0200" 4 175 186 1604 11.292375760781 "NOP" 24 "0070-0100" 2 85 -9 0.0409659997019842 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "WHG" 17 "0150-0200" 4 175 186 1604 11.292375760781 "SPR" 25 "0050-0070" 1 60 -9 0.0174930504024794 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "WHG" 17 "0150-0200" 4 175 186 1604 11.292375760781 "SPR" 25 "0070-0100" 2 85 -9 0.00152189184477603 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "WHG" 17 "0150-0200" 4 175 186 1604 11.292375760781 "SPR" 25 "0100-0150" 3 125 -9 0.00287715319559847 "obs" 0.0168631139577688 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "OTH" 0 "9999-9999" 0 9999 -9 0.734941750391392 "obs" 9999 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "COD" 16 "0100-0150" 3 125 -9 0.00321556639588892 "obs" 0.0200833177350931 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "NSA" 22 "0070-0100" 2 85 -9 0.0539744728226069 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "NSA" 22 "0100-0150" 3 125 -9 0.00944026950497414 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "NSA" 22 "0150-0200" 4 175 -9 0.00228688328652665 "obs" 0.0195077728658943 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "SSA" 23 "0070-0100" 2 85 -9 0.00195356929208561 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "SSA" 23 "0100-0150" 3 125 -9 0.00273891799566726 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "NOP" 24 "0070-0100" 2 85 -9 0.00827813429825279 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "NOP" 24 "0100-0150" 3 125 -9 0.00364941698571544 "obs" 0.0164799506456668 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "SPR" 25 "0050-0070" 1 60 -9 0.0879843609728747 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "SPR" 25 "0070-0100" 2 85 -9 0.0718684326436141 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "WHG" 17 "0200-0250" 5 225 176 1587 86.8076410415203 "SPR" 25 "0100-0150" 3 125 -9 0.0196682254104018 "obs" 0.0168631139577688 1 -1 -1
1 1981 1 "WHG" 17 "0250-0300" 6 275 171 1515 53.5844972125155 "OTH" 0 "9999-9999" 0 9999 -9 0.474719605888301 "obs" 9999 1 -1 -1
